number, nominal size, measured size, tolerance, comp band tolerance, comp amount
1, 1.0000, 1.0000, 0.0030, 0.0010, 0.0000
2, 1.0000, 1.0012, 0.0030, 0.0010, -0.0012
3, 1.0000, 0.9988, 0.0030, 0.0010, 0.0012
4, 1.0000, 1.0005, 0.0030, 0.0010, -0.0005
5, 1.0000, 0.9995, 0.0030, 0.0010, 0.0005
6, 1.0000, 1.0008, 0.0030, 0.0010, -0.0008
7, 1.0000, 0.9992, 0.0030, 0.0010, 0.0008
8, 1.0000, 1.0003, 0.0030, 0.0010, -0.0003
9, 1.0000, 0.9997, 0.0030, 0.0010, 0.0003
10, 1.0000, 1.0001, 0.0030, 0.0010, -0.0001
11, 1.0000, 0.9999, 0.0030, 0.0010, 0.0001
12, 1.0000, 1.0004, 0.0030, 0.0010, -0.0004
13, 1.0000, 0.9996, 0.0030, 0.0010, 0.0004
14, 1.0000, 1.0002, 0.0030, 0.0010, -0.0002
15, 1.0000, 0.9998, 0.0030, 0.0010, 0.0002
16, 1.0000, 1.0006, 0.0030, 0.0010, -0.0006
17, 1.0000, 0.9994, 0.0030, 0.0010, 0.0006
18, 1.0000, 1.0000, 0.0030, 0.0010, 0.0000
19, 1.0000, 0.9999, 0.0030, 0.0010, 0.0001
20, 1.0000, 1.0001, 0.0030, 0.0010, -0.0001
21, 1.0000, 0.9998, 0.0030, 0.0010, 0.0002
22, 1.0000, 1.0002, 0.0030, 0.0010, -0.0002
23, 1.0000, 0.9997, 0.0030, 0.0010, 0.0003
24, 1.0000, 1.0003, 0.0030, 0.0010, -0.0003
25, 1.0000, 0.9999, 0.0030, 0.0010, 0.0001
